title,state,area,phone,licence_number,licence_expiry,website,email,shared_price,private_price,pricing_display,has_gps,rating,photos,status
Loving Mansion Care Centre,Johor,Johor Bahru,+60 12-306 5355,J/PJBWE 091/2025,05.12.2025 - 04.12.2030,https://lovingmansion.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,,"RM 2,500",,"From RM 2,500/month",yes,5,yes,live
FCC Family Care Centre Johor Bahru,Johor,Johor Bahru,+60 17-709 7909,J/PJBWT066/2024,05.12.2024 - 04.12.2029,http://familycarecentre.co/,,RM 600,"RM 4,300","Shared: RM 600 | Private: RM 4,300",yes,4.9,yes,live
Evergreen ElderCare Centre EECMSIA,Johor,Johor Bahru,+60 14-338 4549,J/PJBWE002/26,26.01.2026 - 31.12.2030,http://www.eecmsia.com/,,,,Call for pricing,yes,4.8,yes,live
EHA Elder Care Home (Kluang),Johor,"Kluang, Johor",+60197133697,J/PJB WT 045/2023,22.11.2023 - 21.11.2028,https://ehaeldercare.com.my/our-locations/eha-eldercare-home-kluang-johor/,,,"RM 2,300","From RM 2,300/mo",yes,5,yes,live
Gentle Hill Elder Care,Johor,"Kulai, Johor",+60 16-822 2599,J/PJBWE086/2025,14.11.2025 - 13.11.2030,http://gentlehill.my/,,,,Call for pricing,yes,4.9,yes,live
Pusat Jagaan V.R Melodies Old Folks Home,Johor,Senai,+60 7-598 9676,J/PJBWE018/2026,27.02.2026 - 26.02.2031,,,,,Call for pricing,yes,5,yes,unverified
Pusat Jagaan Pawana Sutera,Johor,Kluang,+60 7-772 0889,J/PJB WT 25/2024,15.05.2024 - 14.05.2029,,,,,Call for pricing,yes,4,yes,unverified
Miriam Home- prefer donation address,Johor,Kluang,+60 7-773 0580,J/PJB WT 032/2021,15.06.2021 - 14.06.2026,,,,,Call for pricing,yes,4.8,yes,unverified
Noble Care,Johor,"Tampoi, Johor Bahru",+60 16-778 6795,B/PJB WT 011/2021,23.06.2021 - 22.06.2026,http://www.mynoblecare.com/,,,,Call for pricing,yes,4.4,yes,live
"Yong An Old Folks Care Centre - Ulu Tiram, JB",Johor,Ulu Tiram,+60 10-222 2566,J/PJB WT 34/2024,19.06.2024 - 18.06.2029,https://yongan-evercare.com/,,"RM 2,400","RM 2,700","Shared: RM 2,400 | Private: RM 2,700",yes,4,yes,live
Blissful Senior Care Centre,Johor,"Kluang, Johor",+60 19-735 7353,J/PJBWE 045/2025,25.06.2025 - 24.06.2030,,,,,Contact for rates,yes,4.8,yes,live
JR Segamat Care Centre,Johor,Segamat District,+60 12-988 7429,M/PJB WE 019 / 2023,26.06.2023 - 25.06.2028,https://johnsonresidence.com.my/,keeannmelaka@gmail.com,,,Call for pricing,yes,5,yes,live
Golden Age Care Centre,Johor,"Muar, Johor",+60 6-952 7711,J/PJB WT 030/2024,29.05.2024 - 28.05.2029,https://gacc.com.my,,,,Contact for rates,yes,3.9,yes,live
Pusat Jagaan Warga Istimewa Triple One Tangkak,Johor,Tangkak,+60 16-200 8448,J/PJBWE017/2026,26.02.2026 - 25.02.2031,,,,,Call for pricing,yes,4.9,yes,unverified
Pusat Jagaan Murni Bahagia,Johor,Bukit Siput,+60 12-972 8982,J/PJB WT 022/2022,18.07.2022 - 17.07.2027,,,,,Call for pricing,yes,3,yes,unverified
Rumah Orang Tua Bukit Siput,Johor,Bukit Siput,,J/PJB WT 002/2023,02.01.2023 - 01.01.2028,,,,,Call for pricing,yes,5,yes,unverified
Master Care Centre • Taman Abad,Johor,Johor Bahru,+60 11-1080 1805,J/PJBWE006/2026,13.01.2026 - 12.01.2031,,,,,Call for pricing,yes,4.7,yes,live
Fu Ka Care Center,Johor,"Kempas Baru, Johor Bahru",+60 19-381 4521,J/PJBWE003/2026,13.01.2026 - 01.01.2031,https://web.facebook.com/fukacarecenter,,,,Contact for rates,yes,5,yes,live
Sincere Heart Care Centre 爱馨养老院,Johor,Muar,+60 12-696 9403,J/PJB WT 042/2024,08.10.2024 - 07.10.2029,,,,,Call for pricing,yes,5,yes,live
Ummi Naura Care Centre,Johor,Muar,+60 13-979 6861,J/PJB WT 045/2020,31.12.2020 - 30.12.2025,http://umminauracarecentre.wordpress.com/,,,,Call for pricing,yes,,yes,live
Lilly Loving Hut Home Care,Johor,Batu Pahat,+60 13-781 2289,J/PJB WT 049/2022,15.11.2022 - 14.11.2027,,,,,Call for pricing,yes,4.3,yes,unverified
Caring Nursing Home,Johor,Batu Pahat,+60 7-435 2388,J/PJB WT 051/2021,28.11.2021 - 27.11.2026,,,,,Call for pricing,yes,,yes,unverified
Pusat Jagaan Warga Tua Hayati Care Centre,Johor,Batu Pahat,+60 11-7023 3470,J/PJBWT046/2024,28.11.2024 - 27.11.2029,,hayaticarecentre@gmail.com,,,Call for pricing,yes,4.9,yes,live
Golden Age Care Centre Batu Pahat,Johor,Batu Pahat,+60 12-771 1083,M/PJB WT 017 / 2021,21.04.2021 - 20.04.2026,https://www.gacc.com.my/index,goledenagecare01@gmail.com,,,Call for pricing,yes,1.3,yes,live
Pusat Jagaan Impian Syimah (Jalan Kemaman),Johor,Johor Bahru,+60 13-750 7134,J/PJB WT 030/2020,12.10.2020 - 11.10.2025,https://www.facebook.com/PusatJagaanImpianSyimah,,,,Contact for rates,yes,5,yes,live
Pusat Jagaan Ler Lin,Johor,Kluang,+60 7-773 8252,J/PJBWT022/2025,23.01.2025 - 22.01.2030,,,,,Call for pricing,yes,4.7,yes,unverified
Magna Resort Sdn. Bhd.,Johor,Johor Bahru,+60 7-234 8899,J/PJB WT 041/2023,22.11.2023 - 21.11.2028,,,,,Call for pricing,yes,,yes,removed
Pusat Sri Kenangan,Johor,Muar,+60 12-998 3690,J/PJB WT 016/2023,17.04.2023 - 16.04.2028,,,,,Call for pricing,yes,3,yes,unverified
Jeta Care,Johor,"Kulai, Johor",+60 7-663 6888,J/PJB WT 010/2022,24.02.2022 - 23.02.2027,http://www.jetacare.com/,,3001,6000,"RM 3,001–6,000/mo (2020 — confirm)",yes,,yes,live
Golden Years Senior Residence Kinrara Puchong,Selangor,Bandar Kinrara,+60 11-6332 2833,B/PJB WT 017/2023,06.10.2023 - 05.10.2028,,,,,Call for pricing,yes,4.7,yes,live
Unique Family Care Center,Selangor,Taman Puchong Utama,+60 14-332 7562,B/PJBWT 007/2023,05.05.2023 - 04.05.2028,,,,,Call for pricing,yes,4.9,yes,live
Noble Care Retirement Home,Selangor,Kampung Sungai Sekamat,+60 16-278 6993,B/PJB WT 008/2026,14.04.2026 - 13.04.2031,,,,,Call for pricing,yes,4.8,yes,live
Love and Care Centre Kajang,Selangor,Taman Sakap,+60 3-8733 8075,B/PJBWT 005/2023,10.04.2023 - 09.04.2028,,,,,Call for pricing,yes,3.8,yes,live
Ampang Old Folks Home,Selangor,Kampung Baru Ampang,+60 3-4291 8978,B/PJB WT 006/2026,30.03.2026 - 29.03.2031,,,,,Call for pricing,yes,4.5,yes,live
Aurora Home Care Centre,Selangor,Kawasan 17,+60 16-690 6333,B/PJB WT 006/2025,11.07.2025 - 10.07.2030,,,,,Call for pricing,yes,5,yes,live
Happy Family Nursing Home (Cheras) (Pusat Jagaan Warga Emas Taman Sri Bahtera),Kuala Lumpur,Taman Sri Bahtera,+60 19-777 7328,W/PJB WT 005/2024,09.02.2024 - 08.02.2029,,,,,Call for pricing,yes,3,yes,live
Happy Family Nursing Home (Taman Desa Jaya) (Pusat Jagaan Warga Emas Desa Jaya),Kuala Lumpur,Taman Desa Jaya,+60 19-777 7328,B/PJB WT 021/2023,21.11.2023 - 20.11.2028,,,,,Call for pricing,yes,5,yes,live
Pusat Jagaan Warga Emas Barakah,Selangor,Saujana Rawang,+60 12-272 9198,B/PJB WT 013/2025,14.11.2025 - 13.11.2030,,,,,Call for pricing,yes,3.7,yes,live
Pusat Jagaan Warga Emas Semenyih,Selangor,Bandar Teknologi Kajang,+60 10-253 6750,B/PJB  WT 009/2019,31.12.2019 - 30.12.2024,,,,,Call for pricing,yes,1,yes,live
Synergy Care Centre,Selangor,USJ Sentral,+60 12-503 8929,B/PJBWT 008/2022,12.05.2022 - 11.05.2027,,,,,Call for pricing,yes,4.8,yes,live
Pusat Jagaan Warga Tua Impresif,Selangor,Pjs 7,+60 3-7954 9008,B/PJB WT 016/2021,22.10.2021 - 21.10.2026,,,,,Call for pricing,yes,4.8,yes,live
My Precious Home Care Elder Care,Selangor,Grandville,+60 16-311 9469,B/PJB WT 011/2025,24.10.2025 - 23.10.2030,http://www.myprecioushomecare.com/,,,,Call for pricing,yes,4.7,yes,live
De Luxe Retirement Nursing Home Petaling Jaya (House 39),Selangor,Kampung Tunku,+60 12-291 3336,B/PJBWT 016/2022,04.11.2022 - 03.11.2027,,,,,Call for pricing,yes,4.9,yes,live
Dementia Care Centre,Johor,Johor,03-61222000,W/PJH WE 004/2026,30.03.2026 - 29.03.2031,,,,,,yes,,no,live
Merry Care Kepong Baru 1,Kuala Lumpur,Kepong Baru,+6014-636 6884,W/PJB WT 016/2023,04.07.2023 - 03.07.2028,https://www.elderlycare.my/merry-care/merry-care-kepong-baru-1,,"RM 2,500",,"From RM 2,500/mo",yes,5,yes,live
Pusat Jagaan En Yuan (Cheras),Selangor,Kampung Cheras Baru,03-4288 3001,W/PJB WT 008/2021,13.12.2021 - 12.12.2026,,,,,,yes,4.2,no,live
Pusat Jagaan Selangor King George V Silver Jubilee Fund,Selangor,Pudu,03-92234891,W/PJB WT 006/2022,27.06.2022 - 26.06.2027,,ksmanagamentkl@gmail.com,,,,yes,4.8,no,live
Berniece Care Service Centre,Selangor,Sentul,03-40439507,W/PJB WT 004/2021,18.05.2021 - 17.05.2026,http://berniececareservice.com/,,,,,yes,5,no,live
Green Cottage Retirement and Nursing Home,Selangor,Taman Westpool,03-7781 2466,A/PJB WT 024/2021,30.04.2021 - 29.04.2026,http://www.gcretirementhome.com/,,,,,yes,,no,unverified
