title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated,halal,ownership_type,licence_number,whatsapp,facebook,care_nursing,care_dementia,care_palliative,care_rehab,care_respite,care_assisted,rn_24_7,doctor_visits,nurse_ratio_day,nurse_ratio_night,medical_physio,medical_ot,medical_wound,medical_peg,medical_dementia_unit,medical_dialysis,medical_oxygen,medical_meds,total_beds,availability,four_bed_price,dorm_price,visiting_hours,parking,editorial_summary,hero_image,photos,photo_count,state,status,care_category,service_type,license_category,license_number,license_verification_date,license_expiry,license_expiry_warning,acuity_level,nurse_in_charge,doctor_visit_frequency,pricing_model,hidden_costs,sg_transfer_ready,verification_tier,last_verified_on,verified_by,evidence_ref,outreach_status,outreach_last_attempt,outreach_notes,tier_2_review_pending,deactivation_reason,remarks,screened_date,screened_by
'Love And Care' Care Centre,love-and-care-care-centre,,,+6052825067,,,,,Elderly Care,,,,,,,,4.5630146,101.0438884,"http://maps.google.com/?q=4.5630146 ,101.0438884",2026-05-07,,,A/PJB WT 034/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
'My Place Convalescent Home' Care Centre,my-place-convalescent-home-care-centre,,,+60125001077,,,,,Elderly Care,,,,,,,,4.580822,101.1026974,"http://maps.google.com/?q=4.580822 ,101.1026974",2026-05-07,,,A/PJB WT 054/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Perak,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
916 HOME CARE CENTRE,916-home-care-centre,,,+60122945988,,,,,Elderly Care,,,,,,,,3.21390,101.64460,"http://maps.google.com/?q=3.21390 ,101.64460",2026-05-07,,,W/PJB WT 001/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kuala Lumpur,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
AFH CARE CENTRE,afh-care-centre,,,+60362633824,,,,,Elderly Care,,,,,,,,3.2226634,101.6250265,"http://maps.google.com/?q=3.2226634 ,101.6250265",2026-05-07,,,B/PJBWT 011/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
Ailins Home Care Centre,ailins-home-care-centre,,,+60126191892,,,,,Elderly Care,,,,,,,,2.2198552,102.1896015,"http://maps.google.com/?q=2.2198552 ,102.1896015",2026-05-07,,,M/PJB WT 015 / 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaka,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
AIM HEALTH CARE CENTRE,aim-health-care-centre,,,+60122865039,,,,,Elderly Care,,,,,,,,3.054609,101.5749568,http://maps.google.com/?q=3.054609	101.5749568,2026-05-07,,,B/PJB WT 016/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Selangor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ALDA CARE CENTRE,alda-care-centre,,,+60107128260,,,,,Elderly Care,,,,,,,,1048607,103.75692,"http://maps.google.com/?q=1048607 ,103.75692",2026-05-07,,,J/PJBWT029/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ALDA CARE CENTRE (CAWANGAN),alda-care-centre-cawangan,,,+60127212388,,,,,Elderly Care,,,,,,,,1.4873477524871925,103.7571047945316,"http://maps.google.com/?q=1.4873477524871925, 103.7571047945316",2026-05-07,,,J/PJBWE071/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johor,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXA VILLA SENIOR CARE CENTRE,alexa-villa-senior-care-centre,,,+60136319956,,,,,Elderly Care,,,,,,,,2.69383,101.81847,"http://maps.google.com/?q=2.69383 ,101.81847",2026-05-07,,,N/PJB WT 15/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXA VILLA SENIOR CARE CENTRE (CAW),alexa-villa-senior-care-centre-caw,,,+60186614856,,,,,Elderly Care,,,,,,,,2.70349,101.86687,"http://maps.google.com/?q=2.70349, 101.86687",2026-05-07,,,N/PJB WE 40/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negeri Sembilan,unverified,,,,,,,,,,,,,,,,,,,,,,,,,
