"address","email","fax","latitude","licence_number","longitude","maps_url","name","ownership","page","phone","scraped_at","validity_date"
"No. 112, Jalan Lahat Lama,    31450  Perak","","","4.5630146","A/PJB WT 034/2022","101.0438884","http://maps.google.com/?q=4.5630146 ,101.0438884","'Love And Care' Care Centre","","1","05-2825067, 012-5626067","2026-05-07T15:24:12.701Z","30.06.2022 - 29.06.2027"
"Lot 14625S - 14628S & Lot 397521, Batu 2 1/2,  Desa Kaya, Jalan Sultan Dr. Nazrin Shah,  Ipoh 31350  Perak","yapfufah@hotmail.com","","4.580822","A/PJB WT 054/2022","101.1026974","http://maps.google.com/?q=4.580822 ,101.1026974","'My Place Convalescent Home' Care Centre","","1","012-5001077, 05-2423482","2026-05-07T15:24:12.702Z","30.12.2022 - 29.12.2027"
"NO.1, JALAN METRO PERDANA 15, TAMAN USAHAWAN, KEPONG 52100  WP Kuala Lumpur","","","3.21390","W/PJB WT 001/2022","101.64460","http://maps.google.com/?q=3.21390 ,101.64460","916 HOME CARE CENTRE","","1","0122945988","2026-05-07T15:24:12.703Z","16.03.2022 - 15.03.2027"
"No. 1420,  Jalan E4/21 Taman Ehsan Kepong 52100  Selangor","","","3.2226634","B/PJBWT 011/2022","101.6250265","http://maps.google.com/?q=3.2226634 ,101.6250265","AFH CARE CENTRE","","1","03-62633824 / 016-9042384","2026-05-07T15:24:12.703Z","05.10.2022 - 04.10.2027"
"5313, Taman Tay Boon Seng, Klebang Besar  Melaka  75200   Melaka","ailinretirementhome@gmail.com","","2.2198552","M/PJB WT 015 / 2022","102.1896015","http://maps.google.com/?q=2.2198552 ,102.1896015","Ailins Home Care Centre","","1","012-6191892","2026-05-07T15:24:12.704Z","21.10.2022 - 20.10.2027"
"NO. 32, JALAN USJ SENTRAL 3, USJ SENTRAL, PERSIARAN SUBANG 1, 47600 SUBANG JAYA, SELANGOR    47600 SUBANG JAYA Selangor","","","3.054609","B/PJB WT 016/2025","101.5749568","http://maps.google.com/?q=3.054609	101.5749568","AIM HEALTH CARE CENTRE","","1","012-2865039","2026-05-07T15:24:12.704Z","12.12.2025 - 11.12.2030"
"118 Jalan Wijaya Taman Abad, Century Garden   80250  Johor","","","1048607","J/PJBWT029/2021","103.75692","http://maps.google.com/?q=1048607 ,103.75692","ALDA CARE CENTRE","","1","0107128260","2026-05-07T15:24:12.705Z","08.06.2021 - 07.06.2026"
"NO 217, JALAN WIJAYA, TAMAN ABAD   80250  Johor Bahru Johor","","","1.4873477524871925","J/PJBWE071/2025","103.7571047945316","http://maps.google.com/?q=1.4873477524871925, 103.7571047945316","ALDA CARE CENTRE (CAWANGAN)","","1","012-7212388","2026-05-07T15:24:12.705Z","20.08.2025 - 19.08.2030"
"NO.2252, JALAN TIARA SENDAYAN 7/7 TAMAN TIARA SENDAYAN,   71900  Seremban Negeri Sembilan","","","2.69383","N/PJB WT 15/2023","101.81847","http://maps.google.com/?q=2.69383 ,101.81847","ALEXA VILLA SENIOR CARE CENTRE","","1","013-6319956","2026-05-07T15:24:12.705Z","04.08.2023 - 03.08.2028"
"NO 23, JALAN SURIAMAN 1/1,  SURIAMAN 1,   70300 Seremban Negeri Sembilan","","","2.70349","N/PJB WE 40/2024","101.86687","http://maps.google.com/?q=2.70349, 101.86687","ALEXA VILLA SENIOR CARE CENTRE (CAW)","","1","018-6614856","2026-05-07T15:24:12.705Z","04.10.2024 - 03.10.2029"
