facility_name,state,city,street,postal_code,full_address,phone,website,category,subtypes,google_rating,google_reviews,photo_url,google_maps_url,latitude,longitude,source,shared_room_price,private_room_price,last_verified_date
新山温馨疗养别墅EHA Golfview Eldercare Mansion (Johor Jaya) #1 Nursing Home Johor Bahru,Johor,Johor Bahru,"Daiman18 Golf Club, 85, Jalan Pesona",81100,"Daiman18 Golf Club, 85, Jalan Pesona, Taman Johor Jaya, 81100 Johor Bahru, Johor Darul Ta'zim",+60 19-728 3697,https://ehaeldercare.com.my/,Nursing home,"Nursing home, Adult day care center, Assisted living facility, Aged Care Service",4.9,70.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgEs2cabTUQOHimXJpXt3nV6WrYjb40IhUtyaLYbu9qr368BacZ576firEnf4V_VQINBh3I-de7r9JgMxLDEsy-O9-rb5aYZpDDUg3gzdPo7j4jLVuN66AtaVH63998F0NgXhJvqQ05Gyk=w800-h500-k-no,"https://www.google.com/maps/place/%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85EHA+Golfview+Eldercare+Mansion+%28Johor+Jaya%29+%231+Nursing+Home+Johor+Bahru/@1.5251689,103.8062769,14z/data=!4m8!1m2!2m1!1s%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85EHA+Golfview+Eldercare+Mansion+%28Johor+Jaya%29+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da6d9151a31c7f:0x88816d8805d479ff!8m2!3d1.5251689!4d103.8062769",1.5251689,103.8062769,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
Master Care Centre,Johor,Johor Bahru,"8, Jalan Hassan Al-Attas",80100,"8, Jalan Hassan Al-Attas, Bandar Johor Bahru, 80100 Johor Bahru, Johor Darul Ta'zim",+60 11-1080 1805,,Nursing home,Nursing home,4.8,21.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG30n-j9tqSoUIW140clKZ_AypnM3hyHHQMU22p5BTfSlTK9aTu7bCgSLb-GjZ3ZpD_L_pVyifXUdUTyMOCoxnpifltoFn5DWCk5kRxqC1EnGQ15S7o-6FUufi5DDboy8-MLnGQaFW6neE=w800-h500-k-no,"https://www.google.com/maps/place/Master+Care+Centre/@1.4660704999999998,103.75543359999999,14z/data=!4m8!1m2!2m1!1sMaster+Care+Centre!3m4!1s0x31da12c7b467f8e3:0xdfa6fb7841db9bb3!8m2!3d1.4660704999999998!4d103.75543359999999",1.4660705,103.7554336,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
Rebina House Care Centre,Johor,Johor Bahru,"15 & 17, Jalan Keranji",80250,"15 & 17, Jalan Keranji, Taman Kebun Teh, 80250 Johor Bahru, Johor Darul Ta'zim",+60 7-335 8963,https://www.rebinasunrise.com/,Nursing home,"Nursing home, Rehabilitation center",4.8,17.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAETEJB0o5etuPS_QJnBmyOsJg6JYaGn9z-YIgYx9Y4SAUJKhqpqJZFBHROdBYBMWnsOO9XKNV1wlcQRQ5lsgZx3lxoZB08Yp8FDQIWOBy_Tj4SvB2idPld0-EHGDeZnThIcyeD0=w800-h500-k-no,"https://www.google.com/maps/place/Rebina+House+Care+Centre/@1.4901115999999999,103.7582487,14z/data=!4m8!1m2!2m1!1sRebina+House+Care+Centre!3m4!1s0x31da6d3bb269d2c1:0xa2cf4e8bf38927d3!8m2!3d1.4901115999999999!4d103.7582487",1.4901116,103.7582487,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
EHA Lakeview Eldercare Mansion - 新山湖畔疗养别墅 (Permas Branch) #1 Nursing Home Johor Bahru,Johor,Johor Bahru,"25, Jalan Bayu Puteri 3/1",81750,"25, Jalan Bayu Puteri 3/1, Taman Bayu Puteri, 81750 Johor Bahru, Johor Darul Ta'zim",+60 19-728 3697,https://ehaeldercare.com.my/,Nursing home,"Nursing home, Adult day care center, Assisted living facility, Aged Care Service",4.9,40.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGbJUyb8naXbOcvga-8-BhSSBX3bQFIVeoZh1od--wGwHN1cPZqTk7ZBMp9MGSU50fF-MoaZuTg-_bBygw2z7T39AA6X6uD4-2M03-dBe8I7G0Ev5pKWOWfluCIWas_lcv0gBXZnw=w800-h500-k-no,"https://www.google.com/maps/place/EHA+Lakeview+Eldercare+Mansion+-+%E6%96%B0%E5%B1%B1%E6%B9%96%E7%95%94%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%28Permas+Branch%29+%231+Nursing+Home+Johor+Bahru/@1.4998011999999998,103.7909861,14z/data=!4m8!1m2!2m1!1sEHA+Lakeview+Eldercare+Mansion+-+%E6%96%B0%E5%B1%B1%E6%B9%96%E7%95%94%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%28Permas+Branch%29+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da6d2722a88637:0xb0ad0dbceaa53234!8m2!3d1.4998011999999998!4d103.7909861",1.4998012,103.7909861,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
EHA Parkview ElderCare (Perling) 新山温馨疗养院 #1 Nursing Home Johor Bahru,Johor,Johor Bahru,"2 & 4, Jalan Sutera Merah 3",81200,"2 & 4, Jalan Sutera Merah 3, Taman Sutera, 81200 Johor Bahru, Johor Darul Ta'zim",+60 18-218 2727,https://ehaeldercare.com.my/,Nursing home,"Nursing home, Adult day care center, Assisted living facility, Day care center, Aged Care Service",4.9,85.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4GiyRrbXCYBEGIf8qfXx9_btrNgIjJ4RqURP7tTIqOLJ7p6UYy24tnBbQz-W1b0c831Ato9ItigqfY_cRvesqYFQy7vKJ6_MZCQlKXj2_taSTyP3AGHTFBvuyXkKz5xWTkg9Q=w800-h500-k-no,"https://www.google.com/maps/place/EHA+Parkview+ElderCare+%28Perling%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E9%99%A2+%231+Nursing+Home+Johor+Bahru/@1.479107,103.68915,14z/data=!4m8!1m2!2m1!1sEHA+Parkview+ElderCare+%28Perling%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E9%99%A2+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da7376fed2a615:0xd5232667f1a974b6!8m2!3d1.479107!4d103.68915",1.479107,103.68915,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
Nursing Home Johor Bahru | Loving Mansion Care Centre,Johor,Johor Bahru,"70, Jalan Kota 2/3",81750,"70, Jalan Kota 2/3, Kawasan Perindustrian Kota Puteri, 81750 Johor Bahru, Johor Darul Ta'zim",+60 12-306 5355,https://lovingmansion.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Nursing home,"Nursing home, Assisted living facility, Rehabilitation center, Retirement home, Senior citizen center, Aged Care Service",5.0,17.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFZQTQCypmaz78u6QRlIMExaUKjjN4u1UUmnqQMexgYs7rdxas525J97ZTz1c1QtZrFsdDva4zYNXtT9Ni_QFczyw6UcvNwyXN3qPbrbJksUMMl0zKo3wCFEQbau7OqaOhuE7k=w800-h500-k-no,"https://www.google.com/maps/place/Nursing+Home+Johor+Bahru+%7C+Loving+Mansion+Care+Centre/@1.4962887,103.844365,14z/data=!4m8!1m2!2m1!1sNursing+Home+Johor+Bahru+%7C+Loving+Mansion+Care+Centre!3m4!1s0x31da6ba719676203:0xe525f81c903dee21!8m2!3d1.4962887!4d103.844365",1.4962887,103.844365,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
ECON Medicare Centre & Nursing Home - Taman Perling Branch 宜康医疗保健中心与疗养院 - 柏伶分行,Johor,Johor Bahru,"No.1, Jalan Camar 3, Taman Perling",81200,"No.1, Jalan Camar 3, Taman Perling, 81200 Johor Bahru, Johor Darul Ta'zim",+60 12-642 6046,https://www.facebook.com/econperling/,Nursing home,"Nursing home, Assisted living facility, Rehabilitation center, Aged Care Service",4.5,152.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAETsJO_mTFEtsW0I95YC-1iAACORYaXD5SEOkuKS0hguQ6po0-mFKeGbNJuvxVF6LiNkhiwOcscpdhKmI9zba3YbpaC_jPe4ReOZoWjInaqXSUdAQql7kAS_UuFFop8hTdiwWTUmQ=w800-h500-k-no,"https://www.google.com/maps/place/ECON+Medicare+Centre+%26+Nursing+Home+-+Taman+Perling+Branch+%E5%AE%9C%E5%BA%B7%E5%8C%BB%E7%96%97%E4%BF%9D%E5%81%A5%E4%B8%AD%E5%BF%83%E4%B8%8E%E7%96%97%E5%85%BB%E9%99%A2+-+%E6%9F%8F%E4%BC%B6%E5%88%86%E8%A1%8C/@1.498181,103.680426,14z/data=!4m8!1m2!2m1!1sECON+Medicare+Centre+%26+Nursing+Home+-+Taman+Perling+Branch+%E5%AE%9C%E5%BA%B7%E5%8C%BB%E7%96%97%E4%BF%9D%E5%81%A5%E4%B8%AD%E5%BF%83%E4%B8%8E%E7%96%97%E5%85%BB%E9%99%A2+-+%E6%9F%8F%E4%BC%B6%E5%88%86%E8%A1%8C!3m4!1s0x31da731fa4d68ad7:0xd3f34bd4a3e586a2!8m2!3d1.498181!4d103.680426",1.498181,103.680426,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
Spring Valley HomeCare (Nursing Home),Johor,Johor Bahru,"3456, Jalan Lurah Utama",81200,"3456, Jalan Lurah Utama, Kampung Kempas Bahru, 81200 Johor Bahru, Johor Darul Ta'zim",+60 19-754 6410,https://www.springvalleyhomecare.com.my/,Kemudahan Kehidupan Berbantu,"Assisted living facility, Nursing home",4.2,38.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGydYvKwI3tozqQ845UGYWLhIS8Yb-m0oXdvG0Un3M6IEIBdc3ST3X4V3VPO0-ZJ9KohmKb1rMxSFVZqOfvY__JH8F6Mp4HJ5JRW3qTtlIxhWFH82RCWBdncwkU7ChwWKriM3UtdQ=w800-h500-k-no,"https://www.google.com/maps/place/Spring+Valley+HomeCare+%28Nursing+Home%29/@1.5293014999999999,103.7188257,14z/data=!4m8!1m2!2m1!1sSpring+Valley+HomeCare+%28Nursing+Home%29!3m4!1s0x31da7271939840d1:0x20bd940f24d37bc5!8m2!3d1.5293014999999999!4d103.7188257",1.5293015,103.7188257,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
Woon Ho Family Care Centre,Johor,Johor Bahru,"18, Jalan Lurah 23",81200,"18, Jalan Lurah 23, Kempas Baru, 81200 Johor Bahru, Johor Darul Ta'zim",+60 19-952 2567,https://woonhofamilycarecentre.com.my/,Nursing home,"Nursing home, Retirement home",5.0,19.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6WazAE1STx_Rv53RCXvkpGbM7Q79xtBTyPlTcmQ-5PvalcE2ZWE6hjlcWJRzl_iTEhzC-ECrXujgXmJU4FN0vMGpBSitjjO6BTRqZJrbzAImX25iG2L3yApTuq20ERm6q1ezvDA=w800-h500-k-no,"https://www.google.com/maps/place/Woon+Ho+Family+Care+Centre/@1.5321392,103.71703149999999,14z/data=!4m8!1m2!2m1!1sWoon+Ho+Family+Care+Centre!3m4!1s0xafa8906dec55e22b:0x36a7cb9e2c95583f!8m2!3d1.5321392!4d103.71703149999999",1.5321392,103.7170315,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
FCC Family Care Centre Johor Bahru,Johor,Ulu Tiram,"17, Jalan Resam",81800,"17, Jalan Resam, Taman Bukit Tiram, 81800 Ulu Tiram, Johor Darul Ta'zim",+60 17-709 7909,http://familycarecentre.co/,Retirement home,"Retirement home, Nursing home, Retirement community",4.9,137.0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFG7z1mwpWd6z1F0j5R99FZwHrZQ_P5_ZGO8v_Qzj9k3-_zBKRwNc-7I5_L3LFNp8d4rdgCWeb5UDoUvawVhorSwdbykP9yb04XVIE2qamOtWSlSHp5mre7h_RRdlhX45FRpx8Q=w800-h500-k-no,"https://www.google.com/maps/place/FCC+Family+Care+Centre+Johor+Bahru/@1.6070566,103.8149184,14z/data=!4m8!1m2!2m1!1sFCC+Family+Care+Centre+Johor+Bahru!3m4!1s0x31da6f1389eef093:0xc955371b0fc78728!8m2!3d1.6070566!4d103.8149184",1.6070566,103.8149184,Google Maps / Outscraper,pricing_unknown,pricing_unknown,2026-04-28
