facility_name,state,beds,website,source,notes
CITY HEART CARE CENTER,Johor,5,http://www.cityheartcare.com/,iElder.Asia,
ECON MEDICARE CENTRE AND NURSING HOME (PUSAT PENJAGAAN KEJURURAWATAN ECON),Johor,194,https://econhealthcare.my/,iElder.Asia,
JETA CARE SDN. BHD,Johor,10,http://www.jetacare.com/,iElder.Asia,
KANG XIN CARE CENTRE SDN. BHD.,Johor,15,,iElder.Asia,
SPRING VALLEY HOMECARE (JB) SDN. BHD.,Johor,8,https://springvalleyhomecare.com.sg/,iElder.Asia,
RUMAH JAGAAN KEJURURAWATAN TLC (TLC Nursing Home),Kedah,22,https://www.facebook.com/people/Tlc-Nursing-Home/100063573488865/,iElder.Asia,
ESP LIFE NURSING CARE CENTER SDN BHD,Melaka,16,http://www.esplifenursingcare.com/,iElder.Asia,
MEDISKILL NURSING CENTRE SDN BHD,Pahang,14,https://www.facebook.com/mediskil/,iElder.Asia,
LARUT CARE CENTRE,Perak,9,https://clinicstandard.com/clinic/Larut-Medical-Centre-35-Jalan-Medan-Taiping-2-Medan-Taiping-34000-Taiping-Perak-Malaysia-Taiping-Perak-Malaysia-Family-Physician,iElder.Asia,
BELLEVUE RESIDENTIAL HOMECARE (M) SDN. BHD.,Selangor,8,http://bellevuepj.com/wordpress/,iElder.Asia,
ECON MEDICARE CENTRE AND NURSING HOME (PUSAT PENJAGAAN KEJURURAWATAN ECON),Selangor,138,https://econhealthcare.my/,iElder.Asia,
SP NURSING CARE CENTRE,Selangor,4,https://www.spcaregroup.com/,iElder.Asia,
EDEN ON THE PARK CARE RESIDENCE,Sarawak,24,http://eden-on-the-park.com.my/,iElder.Asia,
LIONS NURSING HOME,Sarawak,60,https://www.facebook.com/lionsnursinghome/,iElder.Asia,
LOVE CARE CENTRE,Sarawak,28,https://www.facebook.com/thelovecarecentre/,iElder.Asia,
REJANG NURSING CARE CENTRE,Sarawak,73,https://rejanghealthcare.com/index.html,iElder.Asia,
TABUAN HEALTHCARE & NURSING,Sarawak,24,https://www.facebook.com/TabuanHealthcareandNursingCentre,iElder.Asia,
ECON MEDICARE CENTRE,Kuala Lumpur,189,https://www.econhealthcare.com/,iElder.Asia,
KPJ SENIOR LIVING CARE,Kuala Lumpur,42,https://www.kpjhealth.com.my/senior-living-care,iElder.Asia,
LECADIA PRIMACARE CENTRE SDN. BHD.,Kuala Lumpur,30,https://www.lecadia.com/,iElder.Asia,
SEAVOY NURSING HOME SDN. BHD. (DESA MELAWATI),Kuala Lumpur,14,http://www.seavoynursinghome.com/,iElder.Asia,
