facility_name,website,pricing_found,pricing_page_url,phone_found,email_found,status
新山温馨疗养别墅EHA Golfview Eldercare Mansion (Johor Jaya) #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
Rebina House Care Centre,https://www.rebinasunrise.com/,,,012 - 708 9777,care@rebinasunrise.com,ok
EHA Lakeview Eldercare Mansion - 新山湖畔疗养别墅 (Permas Branch) #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
EHA Parkview ElderCare (Perling) 新山温馨疗养院 #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
Nursing Home Johor Bahru | Loving Mansion Care Centre,https://lovingmansion.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,,,,,HTTP 404
ECON Medicare Centre & Nursing Home - Taman Perling Branch 宜康医疗保健中心与疗养院 - 柏伶分行,https://www.facebook.com/econperling/,,,,,HTTP 400
Spring Valley HomeCare (Nursing Home),https://www.springvalleyhomecare.com.my/,,,,springvalley.homecare@gmail.com,ok
Woon Ho Family Care Centre,https://woonhofamilycarecentre.com.my/,,,+60199522567,woonho.familycare@gmail.com,ok
FCC Family Care Centre Johor Bahru,http://familycarecentre.co/,"RM 450-RM 600 | RM 3,800 | RM 4,300 | RM 3,800 / month | RM 3,500 / month | RM 200",https://www.familycarecentre.co/services/,,,ok
Multicare Nursing Home Johor,https://www.multicarehomes.com/,RM 2500 | RM 3000 | RM 2000 | RM 2800 | RM 1800 | RM 2300,https://www.multicarehomes.com/packages.html,+6012 650 1805,info@multicarehomes.com,ok
Anzaletta Living Care Centre | Old Age Home in Johor Bahru | Aged Care Service | Nursing Home,https://anzalettacarecentre.com/,,,010-664 2170,philomenadavis63@gmail.com,ok
Genesis Life Care Centre JB,https://genesiscare.com.my/nursing-home-in-johor-bahru/,"rm,",,+6019-282-0457,enquiries@genesiscare.com.my,ok
PRESTIGE RESIDENCE CARE (GROUP) SDN BHD,http://www.prestigecare.com.my/,,,,,ok
Evergreen ElderCare Centre EECMSIA,http://www.eecmsia.com/,,,,,ok
Jeta Care nursing home,http://www.jetacare.com/,"rm,",,+60187695688,enquiry@jetacare.com,ok
EHA Sunview ElderCare (Kempas) 新山温馨疗养别墅 #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
居銮疗养院 -EHA Elder Care Home (Kluang) 温馨老家 -Licensed and Certified by Government,https://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
Gentle Hill Elder Care,http://gentlehill.my/,,,+607-818 0388,enquiry@gentlehill.my,ok
Tila Care Centre,https://g.page/tila-care-centre,,,,,ok
EHA Bayview Eldercare - (Cheras | Sungai Long | Kajang) 温馨疗养别墅 #1 Nursing Home KL,http://ehaeldercare.com.my/,"RM 1,500 / Month | RM 1,500 | RM 1,300 | RM 2,300 / Month | RM 3,200 / Month | RM 1,300 / Month",,+6019-728 3697,ask.ehagroup@gmail.com,ok
Noble Care,http://www.mynoblecare.com/,"rm,",https://mynoblecare.com/services/senior-citizens-care/,01001020128,,ok
Green Acres Elderly Care Centre Managed By Green Acres Residence Care (Group) Sdn. Bhd.,https://www.greenacreshome.com/,,,,,ok
Lee Nursing 李护理疗养院,http://www.facebook.com/Lee-Nursing-Home-101030911675780,,,,,HTTP 400
Lotus Ville Care Centre,https://lotusville.org.my/,,,,,connection_error
"Yong An Old Folks Care Centre - Ulu Tiram, JB",https://yongan-evercare.com/,"RM2,400/month | RM2,400 | RM2,700/month | RM2,700",,+6010-2222566,,ok
AustinLoyal Care Centre,http://www.austinloyal.com/,,,,,ok
JR Segamat Care Centre,https://johnsonresidence.com.my/,"rm,",https://johnsonresidence.com.my/contact-us/,,,ok
Golden Age Care Centre,https://www.facebook.com/goldenagecc,,,,,HTTP 400
