facility_name,website,shared_room_price,private_room_price,all_prices_found,phone_from_web,email_from_web,scrape_status
新山温馨疗养别墅EHA Golfview Eldercare Mansion (Johor Jaya) #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
Rebina House Care Centre,https://www.rebinasunrise.com/,pricing_unknown,pricing_unknown,,012 - 708 9777,care@rebinasunrise.com,ok
EHA Lakeview Eldercare Mansion - 新山湖畔疗养别墅 (Permas Branch) #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
EHA Parkview ElderCare (Perling) 新山温馨疗养院 #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
Nursing Home Johor Bahru | Loving Mansion Care Centre,https://lovingmansion.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,pricing_unknown,pricing_unknown,,,,HTTP 404
ECON Medicare Centre & Nursing Home - Taman Perling Branch 宜康医疗保健中心与疗养院 - 柏伶分行,https://www.facebook.com/econperling/,pricing_unknown,pricing_unknown,,,,HTTP 400
Spring Valley HomeCare (Nursing Home),https://www.springvalleyhomecare.com.my/,pricing_unknown,pricing_unknown,,,springvalley.homecare@gmail.com,ok
Woon Ho Family Care Centre,https://woonhofamilycarecentre.com.my/,pricing_unknown,pricing_unknown,,+60199522567,woonho.familycare@gmail.com,ok
FCC Family Care Centre Johor Bahru,http://familycarecentre.co/,RM 600,"RM 4,300","RM 600, RM 3,500, RM 3,800, RM 4,300",,,ok
Multicare Nursing Home Johor,https://www.multicarehomes.com/,"RM 1,800","RM 3,000","RM 1,800, RM 2,000, RM 2,300, RM 2,500, RM 2,800, RM 3,000",+6012 650 1805,info@multicarehomes.com,ok
Anzaletta Living Care Centre | Old Age Home in Johor Bahru | Aged Care Service | Nursing Home,https://anzalettacarecentre.com/,pricing_unknown,pricing_unknown,,010-664 2170,philomenadavis63@gmail.com,ok
Genesis Life Care Centre JB,https://genesiscare.com.my/nursing-home-in-johor-bahru/,pricing_unknown,pricing_unknown,,+6019-282-0457,enquiries@genesiscare.com.my,ok
PRESTIGE RESIDENCE CARE (GROUP) SDN BHD,http://www.prestigecare.com.my/,pricing_unknown,pricing_unknown,,,,ok
Evergreen ElderCare Centre EECMSIA,http://www.eecmsia.com/,pricing_unknown,pricing_unknown,,,,ok
Jeta Care nursing home,http://www.jetacare.com/,pricing_unknown,pricing_unknown,,+60187695688,enquiry@jetacare.com,ok
EHA Sunview ElderCare (Kempas) 新山温馨疗养别墅 #1 Nursing Home Johor Bahru,https://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
居銮疗养院 -EHA Elder Care Home (Kluang) 温馨老家 -Licensed and Certified by Government,https://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
Gentle Hill Elder Care,http://gentlehill.my/,pricing_unknown,pricing_unknown,,+607-818 0388,enquiry@gentlehill.my,ok
Tila Care Centre,https://g.page/tila-care-centre,pricing_unknown,pricing_unknown,,,,ok
EHA Bayview Eldercare - (Cheras | Sungai Long | Kajang) 温馨疗养别墅 #1 Nursing Home KL,http://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
Noble Care,http://www.mynoblecare.com/,pricing_unknown,pricing_unknown,,01001020128,,ok
Green Acres Elderly Care Centre Managed By Green Acres Residence Care (Group) Sdn. Bhd.,https://www.greenacreshome.com/,pricing_unknown,pricing_unknown,,,,ok
Lee Nursing 李护理疗养院,http://www.facebook.com/Lee-Nursing-Home-101030911675780,pricing_unknown,pricing_unknown,,,,HTTP 400
Lotus Ville Care Centre,https://lotusville.org.my/,pricing_unknown,pricing_unknown,,,,connection_error
"Yong An Old Folks Care Centre - Ulu Tiram, JB",https://yongan-evercare.com/,"RM 2,400","RM 2,700","RM 2,400, RM 2,700",+6010-2222566,,ok
AustinLoyal Care Centre,http://www.austinloyal.com/,pricing_unknown,pricing_unknown,,,,ok
JR Segamat Care Centre,https://johnsonresidence.com.my/,pricing_unknown,pricing_unknown,,,,ok
Golden Age Care Centre,https://www.facebook.com/goldenagecc,pricing_unknown,pricing_unknown,,,,HTTP 400
EHA Grandview Eldercare - 甲洞温馨疗养别墅 #1 Nursing Home KL (Kepong | Desa Parkcity | Jalan Ipoh ),https://ehaeldercare.com.my/,"RM 1,300","RM 3,200","RM 1,300, RM 1,500, RM 2,300, RM 3,200",+6019-728 3697,ask.ehagroup@gmail.com,ok
Gentle Hearts Care Centre 温心疗养与护理中心,https://www.gentlehearts.my/,pricing_unknown,pricing_unknown,,+606 - 379 6559,info@gentlehearts.my,ok
Cozzi Confinement Center | Yong Peng 娘家精致月子中心,https://cozziconfinement.com.my/,pricing_unknown,pricing_unknown,,02301017662,,ok
Haywood Senior Living Medini Johor Bahru,https://haywoodliving.co/,pricing_unknown,pricing_unknown,,026-2027,,ok
