title,slug,url,area,phone,website,pricing_display,shared_price,private_price,care_types,services,religion,languages,subsidy,wheelchair,rating,review_count,latitude,longitude,google_maps_url,last_updated
新山温馨疗养别墅EHA Golfview Eldercare Mansion (Johor Jaya) #1 Nursing Home Johor Bahru,eha-golfview-eldercare-mansion-johor-jaya-1-nursing-home-joh,/facilities/eha-golfview-eldercare-mansion-johor-jaya-1-nursing-home-joh,Johor Bahru,+60 19-728 3697,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,4.9,70,1.5251689,103.8062769,"https://www.google.com/maps/place/%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85EHA+Golfview+Eldercare+Mansion+%28Johor+Jaya%29+%231+Nursing+Home+Johor+Bahru/@1.5251689,103.8062769,14z/data=!4m8!1m2!2m1!1s%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85EHA+Golfview+Eldercare+Mansion+%28Johor+Jaya%29+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da6d9151a31c7f:0x88816d8805d479ff!8m2!3d1.5251689!4d103.8062769",2026-04-29
Master Care Centre,master-care-centre,/facilities/master-care-centre,,+60 11-1080 1805,,Call for pricing,,,,,,,,Yes,4.8,21,1.4660705,103.7554336,"https://www.google.com/maps/place/Master+Care+Centre/@1.4660704999999998,103.75543359999999,14z/data=!4m8!1m2!2m1!1sMaster+Care+Centre!3m4!1s0x31da12c7b467f8e3:0xdfa6fb7841db9bb3!8m2!3d1.4660704999999998!4d103.75543359999999",2026-04-29
Rebina House Care Centre,rebina-house-care-centre,/facilities/rebina-house-care-centre,"Taman Kebun Teh, Johor Bahru",+60 7-335 8963,https://www.rebinasunrise.com/,Call for pricing,,,Nursing Home + Rehabilitation,"nursing_care, physio, doctor_visit, activities, palliative",All,"English, BM",Unknown,Yes,4.8,17,1.4901116,103.7582487,"https://www.google.com/maps/place/Rebina+House+Care+Centre/@1.4901115999999999,103.7582487,14z/data=!4m8!1m2!2m1!1sRebina+House+Care+Centre!3m4!1s0x31da6d3bb269d2c1:0xa2cf4e8bf38927d3!8m2!3d1.4901115999999999!4d103.7582487",2026-04-29
EHA Lakeview Eldercare Mansion - 新山湖畔疗养别墅 (Permas Branch) #1 Nursing Home Johor Bahru,eha-lakeview-eldercare-mansion-permas-branch-1-nursing-home,/facilities/eha-lakeview-eldercare-mansion-permas-branch-1-nursing-home,Johor Bahru,+60 19-728 3697,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,4.9,40,1.4998012,103.7909861,"https://www.google.com/maps/place/EHA+Lakeview+Eldercare+Mansion+-+%E6%96%B0%E5%B1%B1%E6%B9%96%E7%95%94%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%28Permas+Branch%29+%231+Nursing+Home+Johor+Bahru/@1.4998011999999998,103.7909861,14z/data=!4m8!1m2!2m1!1sEHA+Lakeview+Eldercare+Mansion+-+%E6%96%B0%E5%B1%B1%E6%B9%96%E7%95%94%E7%96%97%E5%85%BB%E5%88%AB%E5%A2%85+%28Permas+Branch%29+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da6d2722a88637:0xb0ad0dbceaa53234!8m2!3d1.4998011999999998!4d103.7909861",2026-04-29
EHA Parkview ElderCare (Perling) 新山温馨疗养院 #1 Nursing Home Johor Bahru,eha-parkview-eldercare-perling-1-nursing-home-johor-bahru,/facilities/eha-parkview-eldercare-perling-1-nursing-home-johor-bahru,Johor Bahru,+60 18-218 2727,https://ehaeldercare.com.my/,"Shared: RM 1,300 | Private: RM 3,200","RM 1,300","RM 3,200",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, activities, dementia_care",Muslim-friendly,"English, BM, Mandarin",Yes,Yes,4.9,85,1.479107,103.68915,"https://www.google.com/maps/place/EHA+Parkview+ElderCare+%28Perling%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E9%99%A2+%231+Nursing+Home+Johor+Bahru/@1.479107,103.68915,14z/data=!4m8!1m2!2m1!1sEHA+Parkview+ElderCare+%28Perling%29+%E6%96%B0%E5%B1%B1%E6%B8%A9%E9%A6%A8%E7%96%97%E5%85%BB%E9%99%A2+%231+Nursing+Home+Johor+Bahru!3m4!1s0x31da7376fed2a615:0xd5232667f1a974b6!8m2!3d1.479107!4d103.68915",2026-04-29
Nursing Home Johor Bahru | Loving Mansion Care Centre,nursing-home-johor-bahru-loving-mansion-care-centre,/facilities/nursing-home-johor-bahru-loving-mansion-care-centre,Johor Bahru,+60 12-306 5355,https://lovingmansion.com/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,"From RM 2,500/month","RM 2,500",,Nursing Home + Rehabilitation + Stroke Recovery,"Geriatric/Orthopedic/Neurology Physio, 24/7 nursing",,,,Yes,5.0,17,1.4962887,103.844365,"https://www.google.com/maps/place/Nursing+Home+Johor+Bahru+%7C+Loving+Mansion+Care+Centre/@1.4962887,103.844365,14z/data=!4m8!1m2!2m1!1sNursing+Home+Johor+Bahru+%7C+Loving+Mansion+Care+Centre!3m4!1s0x31da6ba719676203:0xe525f81c903dee21!8m2!3d1.4962887!4d103.844365",2026-04-29
ECON Medicare Centre & Nursing Home - Taman Perling Branch 宜康医疗保健中心与疗养院 - 柏伶分行,econ-medicare-centre-nursing-home-taman-perling-branch,/facilities/econ-medicare-centre-nursing-home-taman-perling-branch,"Taman Perling, Johor Bahru",+60 12-642 6046,https://www.facebook.com/econperling/,Call for pricing,,,Nursing Home + Assisted Living + Rehabilitation,"nursing_care, rehab, social_activities",,,,Yes,4.5,152,1.498181,103.680426,"https://www.google.com/maps/place/ECON+Medicare+Centre+%26+Nursing+Home+-+Taman+Perling+Branch+%E5%AE%9C%E5%BA%B7%E5%8C%BB%E7%96%97%E4%BF%9D%E5%81%A5%E4%B8%AD%E5%BF%83%E4%B8%8E%E7%96%97%E5%85%BB%E9%99%A2+-+%E6%9F%8F%E4%BC%B6%E5%88%86%E8%A1%8C/@1.498181,103.680426,14z/data=!4m8!1m2!2m1!1sECON+Medicare+Centre+%26+Nursing+Home+-+Taman+Perling+Branch+%E5%AE%9C%E5%BA%B7%E5%8C%BB%E7%96%97%E4%BF%9D%E5%81%A5%E4%B8%AD%E5%BF%83%E4%B8%8E%E7%96%97%E5%85%BB%E9%99%A2+-+%E6%9F%8F%E4%BC%B6%E5%88%86%E8%A1%8C!3m4!1s0x31da731fa4d68ad7:0xd3f34bd4a3e586a2!8m2!3d1.498181!4d103.680426",2026-04-29
Spring Valley HomeCare (Nursing Home),spring-valley-homecare-nursing-home,/facilities/spring-valley-homecare-nursing-home,Johor Bahru,+60 19-754 6410,https://www.springvalleyhomecare.com.my/,"Shared: RM 1,700 | Private: RM 1,850","RM 1,700","RM 1,850",Nursing Home + Rehabilitation,"laundry, physio, activities",Chinese-run,"English, BM",Unknown,Yes,4.2,38,1.5293015,103.7188257,"https://www.google.com/maps/place/Spring+Valley+HomeCare+%28Nursing+Home%29/@1.5293014999999999,103.7188257,14z/data=!4m8!1m2!2m1!1sSpring+Valley+HomeCare+%28Nursing+Home%29!3m4!1s0x31da7271939840d1:0x20bd940f24d37bc5!8m2!3d1.5293014999999999!4d103.7188257",2026-04-29
Woon Ho Family Care Centre,woon-ho-family-care-centre,/facilities/woon-ho-family-care-centre,"Kempas Baru, Johor Bahru",+60 19-952 2567,https://woonhofamilycarecentre.com.my/,"From RM 2,000/month","RM 2,000",,Nursing Home + Assisted Living + Rehabilitation,"meals, nursing_care, physio, doctor_visit, transport, activities, dementia_care",Chinese-run,BM,Unknown,Yes,5.0,19,1.5321392,103.7170315,"https://www.google.com/maps/place/Woon+Ho+Family+Care+Centre/@1.5321392,103.71703149999999,14z/data=!4m8!1m2!2m1!1sWoon+Ho+Family+Care+Centre!3m4!1s0xafa8906dec55e22b:0x36a7cb9e2c95583f!8m2!3d1.5321392!4d103.71703149999999",2026-04-29
FCC Family Care Centre Johor Bahru,fcc-family-care-centre-johor-bahru,/facilities/fcc-family-care-centre-johor-bahru,Johor Bahru,+60 17-709 7909,http://familycarecentre.co/,"Shared: RM 600 | Private: RM 4,300",RM 600,"RM 4,300",Nursing Home + Day Care + Assisted Living + Rehabilitation,"meals, laundry, nursing_care, physio, doctor_visit, transport, activities, dementia_care, palliative",Chinese-run,"BM, Mandarin",Unknown,Yes,4.9,137,1.6070566,103.8149184,"https://www.google.com/maps/place/FCC+Family+Care+Centre+Johor+Bahru/@1.6070566,103.8149184,14z/data=!4m8!1m2!2m1!1sFCC+Family+Care+Centre+Johor+Bahru!3m4!1s0x31da6f1389eef093:0xc955371b0fc78728!8m2!3d1.6070566!4d103.8149184",2026-04-29
