title,state,area,phone,website,licence_number,care_category
AX Nursing Home PLT,Johor,Johor Bahru,+60 11-5999 9905,https://web.facebook.com/axnursinghome,,Nursing Home
Amitabha Foundation (Amitabha Malaysia),Johor,Johor Bahru,+60 7-213 2448,https://en.amitabhamalaysia.org/,,Day Care
Anzaletta Living Care Centre | Old Age Home in Johor Bahru | Aged Care Service | Nursing Home,Johor,Johor Bahru,+60 16-681 1765,https://anzalettacarecentre.com/,,Nursing Home
AustinLoyal Care Centre,Johor,Johor Bahru,+60 19-219 9828,http://www.austinloyal.com/,,Nursing Home
ECON Medicare Centre & Nursing Home - Taman Perling Branch,Johor,"Taman Perling, Johor Bahru",+60 7-234 4680,https://econhealthcare.my,,Nursing Home
EHA Golfview Eldercare Mansion (Johor Jaya) ,Johor,Johor Bahru,+60197283697,https://ehaeldercare.com.my/our-locations/eha-golfview-eldercare-mansion-johor-jaya/,,Mixed
EHA Lakeview Eldercare Mansion (Permas Branch),Johor,Johor Bahru,+60197281686,https://ehaeldercare.com.my/our-locations/eha-lakeview-eldercare-mansion-permas-jaya/,,Mixed
EHA Parkview ElderCare (Perling),Johor,Johor Bahru,+60 18-218 2727,https://ehaeldercare.com.my/our-locations/eha-parkview-eldercare-perling-jb/,,Mixed
EHA Sunview ElderCare (Kempas) ,Johor,"Kempas, Johor Bahru",+60187881686,https://ehaeldercare.com.my/eha-sunview-eldercare-kempas/,,Mixed
Elderia Care Center,Johor,Batu Pahat,+60 11-2803 0620,https://elderiacare.wixsite.com/elderia-care-center,,Mixed
Elim Nursing Home Batu Pahat,Johor,"Batu Pahat, Johor",+60 11-1079 1685,https://www.facebook.com/elimnursinghomebp,,Nursing Home
FCC Family Care Centre,Johor,Johor Bahru,,https://www.familycarecentre.co,,Day Care
GOLDEN AGE CARE CENTRE TANGKAK,Johor,Tangkak,+60 18-952 7711,https://gacc.com.my/,,Mixed
Genesis Life Care Centre JB,Johor,Johor Bahru,+60 19-282 0457,https://genesiscare.com.my/nursing-home-in-johor-bahru/,,Nursing Home
Green Acres Elderly Care Centre Managed By Green Acres Residence Care (Group) Sdn. Bhd.,Johor,Johor Bahru,+60 11-5991 9916,https://www.greenacreshome.com/,,Nursing Home
Green Acres Home Care,Johor,Kim Teng Park,07-2213393,https://www.greenacreshome.com/,,Nursing Home
Green Acres Home Care Centre- Managed By Green Acres Residence Care (Group) Sdn. Bhd.,Johor,Johor Bahru,+60 11-5991 9916,https://www.greenacreshome.com/,,Nursing Home
Green Garden Care Center Sdn Bhd,Johor,Pontian District,+60 7-686 9800,http://www.greengarden.com.my/,,Nursing Home
Hang Nursing Home (Gelang Patah Branch),Johor,"Gelang Patah, Johor Bahru",+60 12-766 0927,https://m.facebook.com/pusatjagaanhang/,,Nursing Home
Haywood Senior Living Medini Johor Bahru,Johor,Johor Bahru (Medini / Iskandar Puteri),+60 11-5587 9788,https://haywoodliving.co,,Assisted Living
Healthlife Old Folks Home,Johor,"Batu Pahat, Johor",+60 19-769 9129,http://www.aixinliauyang.yolasite.com/,,Nursing Home
Hibiscus Serenity Care Centre (Larkin),Johor,Johor Bahru,+60 12-777 6673,https://www.hibiscus-care.com/,,Mixed
JB Care Centre,Johor,Taman Sri Tebrau,07-3331999,http://www.jbcarecentre.com/usr/page.aspx?pgid=2,,Nursing Home
Lee Nursing ,Johor,"Skudai, Johor Bahru",+60 12-777 6673,https://www.leenursinghome.com,,Nursing Home
Lotus Ville Care Centre,Johor,Johor Bahru,+60 17-737 1233,https://lotusville.org.my/,,Nursing Home
Master Nursing Care Centre @Daya,Johor,Johor Bahru,+60 11-1080 1805,https://www.masternursingcare.com,,Nursing Home
Multicare Nursing Home Johor,Johor,Johor Bahru,+60 12-650 1805,https://www.multicarehomes.com/,,Mixed
PRESTIGE RESIDENCE CARE (GROUP) SDN BHD,Johor,Johor Bahru,+60 11-5991 9916,http://www.prestigecare.com.my/,,Mixed
Pine Tree Home Care Centre,Johor,Kampung Dalam,+60 19-776 6666,https://www.facebook.com/pages/category/Nursing-Home/Pine-Tree-Home-Care-Centre-102995054848258/,,Nursing Home
Pusat Jagaan Impian Syimah (Jalan Kemuncak),Johor,Johor Bahru,+60 13-750 7134,https://www.facebook.com/PusatJagaanImpianSyimah,,Nursing Home
Pusat Jagaan Orang Tua Yeo JB,Johor,Johor Bahru,+60 16-717 3127,https://www.facebook.com/gracehome.yeo,,Nursing Home
Pusat Jagaan Rumah Sejahtera Batu Pahat,Johor,Batu Pahat,07-4322706,https://www.facebook.com/oldfolkshomebp/,,Nursing Home
Pusat Jagaan Sri Sentosa,Johor,Taman Sentosa,07-7718460,https://klangsentosaoldfolkshome.blogspot.my/,,Nursing Home
Pusat Jagaan Warga Emas Nur Ehsan,Johor,"Kempas Baru, Johor Bahru",+60 7-232 6415,https://m.facebook.com/pages/category/Public-Service/Pusat-Jagaan-Warga-Emas-Nur-Ehsan-1051759248276730/,,Nursing Home
Pusat Jagaan Wargatua Parit Bilal,Johor,"Batu Pahat, Johor",+60 11-1682 6865,https://www.facebook.com/profile.php%3Fid%3D100063647223251,,Nursing Home
