slug,area,latitude,longitude,phone,website,rating,review_count,hero_image,photos
eldercare-nursing-home,,,,,http://www.eldercaregivers.com.my/,,,,
caring-hearts-elder-care-centre,,,,,https://www.facebook.com/AKPcaringheartsprivatecaregiver?mibextid=ZbWKwL,,,,
angel-best-centre-nursing-home-天使之家养老院-rawang-area-万挠区,,,,,https://www.facebook.com/share/1AGz6aMVRi/?mibextid=wwXIfr,,,,
sincere-care-home,,,,,https://m.facebook.com/pg/sincerecarehome/posts/,,,,
noble-care-retirement-resort,,,,,http://www.mynoblecare.com/,,,,
care-concierge-care-luxe-ampang,,,,,http://www.mycareconcierge.com/,,,,
caregiver-in-kl,,,,,https://www.facebook.com/share/18j4Xs3JjH/?mibextid=wwXIfr,,,,
goldleaf-villa-care-centre,,,,,https://www.megaseniorcarecentre.com/,,,,
elderly-welfare-association-chan-kuala-lumpur,,,,,https://www.facebook.com/pusatjagaanwargaemaschan,,,,
ixora-senior-care,,,,,https://ixoraseniorcare.com/ixora-senior-care-ss12-subang-jaya/,,,,
