slug,area,latitude,longitude,phone,website,rating,review_count,hero_image,photos
fcc-family-care-centre,,1.6070566,103.8149184,+60 17-709 7909,,4.9,154,,
jb-care-centre,,,,,,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHhGC8QB96EnaTCqLhG7HXYCvkN4EBgeihFuFG8IGxPMWjK5UVT6ECfJaaPFMXgbA886FQqRKcpI9QcVWHtkUkDsIeU9-ONcfhz9NzOFnY5cqOcMcqqRk7xHU_cFy1A1rdKOb2aMYXBytUscI7jn46e0TbsxmnAp2k08p8n1JnjcniWnYq_N84qe3izTKH-1sd02A=w426-h240-k-no,https://lh3.googleusercontent.com/gps-proxy/ALd4DhHhGC8QB96EnaTCqLhG7HXYCvkN4EBgeihFuFG8IGxPMWjK5UVT6ECfJaaPFMXgbA886FQqRKcpI9QcVWHtkUkDsIeU9-ONcfhz9NzOFnY5cqOcMcqqRk7xHU_cFy1A1rdKOb2aMYXBytUscI7jn46e0TbsxmnAp2k08p8n1JnjcniWnYq_N84qe3izTKH-1sd02A=w426-h240-k-no|https://lh3.googleusercontent.com/proxy/lz9yRDTtKSYmgBzqeXd6Ied1R3BfIMiLdX6R_XKf5ritXtlN4GOfbsEaAs0gkdNUZetIpysVhpQEVZYocQqsOUwTS7jMZe-ljIBwqvt5lRV4A7kK5YCmppAN781hYlyF0xtbEEosio-c6UMADvizqqOEhqtgNpTp54RSLg=w1920-h1080-k-no|https://lh4.googleusercontent.com/proxy/0WLM7CbQUJuQsvqNNfX_MNDiJW8F6AZZl8z6XNvVGlAibe0rt4sQdffZ6AJKca9nYlj1PpjlqudjKowB6M6j2LYoNNJ27rZJthPDS6_YbCJr6yHnnkYVFPzbrshY3ghPuQpWbPQvttRk6SPs9c8czr1re1W3EhuHdeUulQ=w1920-h1080-k-no|https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=feNBIj1CGX6jozwXvFYnWA&cb_client=lu.gallery.gps&w=160&h=106&yaw=239.65709&pitch=0&thumbfov=100
comfort-old-folks-home-centre,,1.5313715,,,https://www.facebook.com/profile.php?id=61579966072698,,,,
pusat-jagaan-rumah-sejahtera-batu-pahat,Taman Selatan,2.0160347,103.058695,,,3,1,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MPphdvl7BBaEIcKQob44dw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.4295&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MPphdvl7BBaEIcKQob44dw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=103.4295&pitch=0&thumbfov=100|https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MPphdvl7BBaEIcKQob44dw&cb_client=lu.gallery.gps&w=160&h=106&yaw=103.4295&pitch=0&thumbfov=100|https://lh3.googleusercontent.com/gps-cs-s/APNQkAEiEY47TPmZp-0VlZHKXeUO_-_HVnQeB0c8MiNqF_QZzAlJgKahpZ_9rVrAxLh0sQjpqwL50dhz8fHzUPUWMauSGClPnB5BPgdYiQBWcaBi5BgAhYPgVPuQc8PQ8saegZvuk64WLw=w1920-h1080-k-no
afh-elder-care,,3.2226838,,,,4.8,23,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZgWOLWGk1KlH2NWkBgidF89Wm_Eephbgt0mC7E383q3eOjGw6DewShhLUtBaejGG-hO-xlSa8YSUMxZ8SHZJ9cOwAuw1FQiWCRdmMKENL0r5qLVEGxpDQEtw3hpm-STz7eWbmDiam5v8P=w533-h240-k-no,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZgWOLWGk1KlH2NWkBgidF89Wm_Eephbgt0mC7E383q3eOjGw6DewShhLUtBaejGG-hO-xlSa8YSUMxZ8SHZJ9cOwAuw1FQiWCRdmMKENL0r5qLVEGxpDQEtw3hpm-STz7eWbmDiam5v8P=w533-h240-k-no|https://lh3.googleusercontent.com/p/AF1QipNCEbtFi-N7VSsUh0QXl07sdMywYbTk-zp8gVig=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmm33kkQjT5sC2BGyLo0-jDoZ23f7X23K-wJAUM-w-Z46TkrOWkIhbBVmCFOUrEVdJae4PiHyT_E2CdWHo1SktGm7Q6_9-1dCB68s0gJj9sUbM3Yid8Q_8dh5XT560pBkp3h74=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipN00SIpgUBKP0i8evzgLAAtIFRvQcSZGQzhT0Ua=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipNZsktAGZc3UZ-tCcClEWnJi12-hBgCTEyC19C-=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipOnTouqmXIFj938aq7V3antwVwZmd7R7BCLzhDO=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipNUvHJuIIM-ckQGMGQBymZ9aG6uwUKJeLwpISnH=w1920-h1080-k-no|https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QhDNoKGbRSFeYelCRMvHdQ&cb_client=lu.gallery.gps&w=160&h=106&yaw=358.82025&pitch=0&thumbfov=100
dhaalia-elderly-care-centre,,3.1123392,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UMS8S5hxB-sEqT5Cp_lXsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.33421&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UMS8S5hxB-sEqT5Cp_lXsA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=123.33421&pitch=0&thumbfov=100
seavoy-nursing-home-taman-setapak-indah,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8X26KAIKcMNaWtjSE07gRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.79828&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8X26KAIKcMNaWtjSE07gRA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=265.79828&pitch=0&thumbfov=100|https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8X26KAIKcMNaWtjSE07gRA&cb_client=lu.gallery.gps&w=160&h=106&yaw=265.79828&pitch=0&thumbfov=100|https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBN_AE78p0oOoIfwf-bn6qZAgN63Mf7LZqPg2Z3kq-8MFQ4jl1628YkCfDwicfPyWFbyI5k6fugxqlcj1NrY2hRAyYLjz19bdZ0JFrs9NoOv7pXla43LQWpACab2ZEw_KNx7an=w1920-h1080-k-no
siri-jayanti-metta-care-centre,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7_RsZqcXbOyZqzJ2JpRekg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=21.310959&pitch=0&thumbfov=100,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7_RsZqcXbOyZqzJ2JpRekg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=21.310959&pitch=0&thumbfov=100
procare-care-centre,,3.0687041,,,,4.7,22,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmDooio05bQMLtqt0uvr5M4DFSXxZop7UNsjFO3K-IPqpNL0wAcq9_k2CiJbR41xqc7zSzCR15Qpic6BcEV_WRzGNo8yH9KR0evqiccdLoRBQBNlaLZuFOa7n48O_-alMmIc9WW0oe6OE=w408-h281-k-no,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmDooio05bQMLtqt0uvr5M4DFSXxZop7UNsjFO3K-IPqpNL0wAcq9_k2CiJbR41xqc7zSzCR15Qpic6BcEV_WRzGNo8yH9KR0evqiccdLoRBQBNlaLZuFOa7n48O_-alMmIc9WW0oe6OE=w408-h281-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAEmDooio05bQMLtqt0uvr5M4DFSXxZop7UNsjFO3K-IPqpNL0wAcq9_k2CiJbR41xqc7zSzCR15Qpic6BcEV_WRzGNo8yH9KR0evqiccdLoRBQBNlaLZuFOa7n48O_-alMmIc9WW0oe6OE=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAEvQUPtJs1LMhOiICxU59e6RFHBZjfwEwpOYt9SkVvp_Dtb9l1A3Q1m8-cgJN8jklqNDv7jBnZ6aDdiDwS8SIN3wmVdpAsxPcWYdcXZQNULgR9mBX60wgqH22NTY4LnLYd4BxvaqcIa_xlX=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAHh_jS1uh9bTBRsLmEjmWWKZv5kd-_yiL3WtyUU4XnA0eb3PT0L0uKYm29UwrVWaQMGTmGl6gHIpBjJrpdN_9fH3iiti70fT9ZZcmd2HD3I5cpfKE6E-P5c86l4YYZgtQBTXmpjCUOoXaQk=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAGq0LgagbwLAtb2lS8RHk6q_dnNjO4PAMF4b7_e9WL4hoEkt7enRsqHIlftCyVCW3f3kdJgxrNG49FsZD_-6YlXp6UvfnmzvqGuZX1ZRK0vVqm1y14Z28Gl_4OcuM9jp8_HwmVL=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAF6-m2Lpdg4aTz0ELc1I4HClF2M9GnNcr8Ex7PAs1Wvy0kdei2AZaidNGvtKRGWJt7TFC2t2_NAKNn11V03igt5cYFuGaXzzYP6VwWZuqaEgwAa1JzJAxIo1s8rSdp-zGnVRCWDlSF1kJ_7=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEpL86Fx07mtX1Z11pTWyPVumCTn0XiJ9Gwu8bYCMInCCTy4iLEmxCOPvYQHYeoHHmtQ3vEw4SSkH5IlUpm3BXMVq9BShN0kABpVyOzvzDuQI5wQlbipaa8usc-cITaRlJfvsK=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDjf2axBYAwWVq2s9B9wELsXpEXcGEpNvTehWWFZNMTzsWP7It7d09QYegYS9YTGizkeituPATjwsD9zT8SraM6bIoVQeUuyqy4Adr9lQtyS2yWf_EwjsDokOCUJrz4pWSoGaR2VCBW9M=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0CGZg7bU6eUAAl8YQbpmwKU22Dkwgjf0cgQpmbxl02U5nwSfePcf4Ig7rJUycL7Re7YpJryBDuoWGvWJLtiUuA3ifClUt4ZE14UK8mFAYrCYSPeqQGhnjTiFLRZnT7GKpNEpYWhVvi0JJ=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAHjYst3poM1rRgg7wBAC510fD9rWnOjUc2VHT9eAE2u1x5E93O4Xbr728YCHlCkhfX9P0oYGyQ2lylfC6fOo8FiSAvr3pvbcNYsKY2Juqqxi_ZAbCCklMXlqX5vep6HpkPxwMPFnp98OxIS=w1920-h1080-k-no
dementia-care-centre,,,,,https://anzalettacarecentre.com/,4.7,12,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsBrGvW1ZBXyrYEhzSH16stAveaxt6DW-OARdGABSezAJJzpy3k6ZdCm-fuONGAl0ohu4mt2m6aXcGQOEeGJ_IWjVkg02gMmpUFN9jwB1HEGwqUxH7TGX8fjOhXfNDUymr6ASQNV4R4L4=w408-h272-k-no,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHsBrGvW1ZBXyrYEhzSH16stAveaxt6DW-OARdGABSezAJJzpy3k6ZdCm-fuONGAl0ohu4mt2m6aXcGQOEeGJ_IWjVkg02gMmpUFN9jwB1HEGwqUxH7TGX8fjOhXfNDUymr6ASQNV4R4L4=w408-h272-k-no|https://lh3.googleusercontent.com/p/AF1QipPyw8I3yud4V-vZwjWwPCbcW5aaqvcPf3y256k5=w1920-h1080-k-no|https://lh3.googleusercontent.com/gps-cs-s/APNQkAExM1gSH0ZCLK2y5tiAeesW1eC_eNAd3-5dHpe0xfjGfHMLEH_IGe5nEBM0BSjW_8lxk53E2qFPrQ3v-MmVvqyEBf7b6W9ee0RzVzeF54We2epiMNgxo6q4snv5LLquteusLGE=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipN_K5eGkjlrXQUU9J0j5Ijk5Tpp_t90quF0DrwG=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipO8zf3LhIXYWXZxxk5Kg6x8llKDBIisJZxCdzq8=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipNhir3alih8vbdzkmmfVj92KSfplA3iz3ZMfp37=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipPeVxzS0kVJbiGj8vHC55KmA45tUsN7DkunrKsW=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipPIet_Thcj0KslF3CaMAQa8ATqBHrPGJuRRFXyT=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipMcm2DlzPhNqkgYkK-xmSrYMsG381rStfVkeG0T=w1920-h1080-k-no|https://lh3.googleusercontent.com/p/AF1QipN3rO2Eb1TzSMoNoJ4sKNk-ofsvetlC6C5ZO6nx=w1920-h1080-k-no
